elapsed_s,gpu_util_pct,mem_util_pct,mem_used_mb,mem_total_mb
668.051,0,0,22838,46068
669.077,0,0,22838,46068
670.104,0,0,22838,46068
671.132,0,0,22838,46068
672.159,0,0,22838,46068
673.185,0,0,22838,46068
674.213,0,0,22838,46068
675.240,0,0,22838,46068
676.267,0,0,22838,46068
677.293,0,0,22838,46068
678.321,0,0,22838,46068
679.347,0,0,22838,46068
680.376,0,0,22838,46068
681.403,0,0,22838,46068
682.431,0,0,22838,46068
683.457,0,0,22838,46068
684.485,0,0,22838,46068
685.513,0,0,22838,46068
686.540,0,0,22838,46068
687.568,0,0,22838,46068
688.595,0,0,22838,46068
689.622,0,0,22838,46068
690.656,0,0,22838,46068
691.684,0,0,22838,46068
692.711,0,0,22838,46068
693.737,0,0,22838,46068
694.767,0,0,22838,46068
695.794,0,0,22838,46068
696.822,0,0,22838,46068
697.850,0,0,22838,46068
698.877,0,0,22838,46068
699.902,0,0,22838,46068
700.928,0,0,22838,46068
701.954,0,0,22838,46068
702.980,0,0,22838,46068
704.006,0,0,22838,46068
705.034,0,0,22838,46068
706.060,0,0,22838,46068
707.085,0,0,22838,46068
708.111,0,0,22838,46068
709.137,0,0,22838,46068
710.163,0,0,22838,46068
711.189,0,0,22838,46068
712.214,0,0,22838,46068
713.239,0,0,22838,46068
714.265,0,0,22838,46068
715.291,0,0,22838,46068
716.318,0,0,22838,46068
717.344,0,0,22838,46068
718.369,0,0,22838,46068
719.396,0,0,22838,46068
720.423,0,0,22838,46068
721.451,0,0,22838,46068
722.476,0,0,22838,46068
723.503,0,0,22838,46068
724.529,0,0,22838,46068
725.559,0,0,22838,46068
726.587,0,0,22838,46068
727.614,0,0,22838,46068
728.639,0,0,22838,46068
729.665,0,0,22838,46068
730.690,0,0,22838,46068
731.716,0,0,22838,46068
732.742,0,0,22838,46068
733.767,0,0,22838,46068
734.794,0,0,22838,46068
735.819,0,0,22838,46068
736.844,0,0,22838,46068
737.869,0,0,22838,46068
738.895,0,0,22838,46068
739.921,0,0,22838,46068
740.946,0,0,22838,46068
741.971,0,0,22838,46068
742.997,0,0,22838,46068
744.023,0,0,22838,46068
745.049,0,0,22838,46068
746.074,0,0,22838,46068
747.268,0,0,22838,46068
748.294,0,0,22838,46068
749.319,0,0,22838,46068
750.345,0,0,22838,46068
751.369,0,0,22838,46068
752.394,0,0,22838,46068
753.420,0,0,22838,46068
754.445,0,0,22838,46068
755.471,0,0,22838,46068
756.497,0,0,22838,46068
757.522,0,0,22838,46068
758.550,0,0,22838,46068
759.575,0,0,22838,46068
760.601,0,0,22838,46068
761.627,0,0,22838,46068
762.653,0,0,22838,46068
763.680,0,0,22838,46068
764.706,0,0,22838,46068
765.731,0,0,22838,46068
766.757,0,0,22838,46068
767.783,0,0,22838,46068
768.808,0,0,22838,46068
769.833,0,0,22838,46068
770.859,0,0,22838,46068
771.884,0,0,22838,46068
772.910,0,0,22838,46068
773.936,0,0,22838,46068
774.963,0,0,22838,46068
775.988,0,0,22838,46068
777.033,0,0,22838,46068
778.060,0,0,22838,46068
779.086,0,0,22838,46068
780.114,0,0,22838,46068
781.140,0,0,22838,46068
782.172,0,0,22838,46068
783.198,0,0,22838,46068
784.226,0,0,22838,46068
785.251,0,0,22838,46068
786.280,0,0,22838,46068
787.308,0,0,22838,46068
788.335,0,0,22838,46068
789.361,0,0,22838,46068
790.389,0,0,22838,46068
791.415,0,0,22838,46068
792.442,0,0,22838,46068
793.470,0,0,22838,46068
794.495,0,0,22838,46068
795.522,0,0,22838,46068
796.547,0,0,22838,46068
797.573,0,0,22838,46068
798.598,0,0,22838,46068
799.623,0,0,22838,46068
800.647,0,0,22838,46068
801.674,0,0,22838,46068
802.699,0,0,22838,46068
803.724,0,0,22838,46068
804.750,0,0,22838,46068
805.776,0,0,22838,46068
806.800,0,0,22838,46068
807.826,0,0,22838,46068
808.854,0,0,22838,46068
809.880,0,0,22838,46068
810.905,0,0,22838,46068
811.930,0,0,22838,46068
812.954,0,0,22838,46068
813.979,0,0,22838,46068
815.005,0,0,22838,46068
816.030,0,0,22838,46068
817.056,0,0,22838,46068
818.082,0,0,22838,46068
819.110,0,0,22838,46068
820.136,0,0,22838,46068
821.162,0,0,22838,46068
822.188,0,0,22838,46068
823.214,0,0,22838,46068
824.239,0,0,22838,46068
825.263,0,0,22838,46068
826.291,0,0,22838,46068
827.319,0,0,22838,46068
828.344,0,0,22838,46068
829.369,0,0,22838,46068
830.395,0,0,22838,46068
831.420,0,0,22838,46068
832.446,0,0,22838,46068
833.471,0,0,22838,46068
834.496,0,0,22838,46068
835.521,0,0,22838,46068
836.548,0,0,22838,46068
837.573,0,0,22838,46068
838.600,0,0,22838,46068
839.626,0,0,22838,46068
840.652,0,0,22838,46068
841.679,0,0,22838,46068
842.705,0,0,22838,46068
843.732,0,0,22838,46068
844.758,0,0,22838,46068
845.785,0,0,22838,46068
